Object Code,FeH*Age
Terzan7,0.89
NGC6441,4.93
NGC6388,5.27
Palomar12,6.97
NGC5927,8.13
NGC1851,8.63
NGC6496,8.68
NGC6624,8.75
NGC6352,8.89
NGC6304,8.98
NGC6366,9.71
NGC104,9.73
NGC6637,10.22
NGC6838,10.41
NGC1261,11.06
NGC6652,11.64
NGC6723,12.58
NGC362,12.60
NGC6981,13.19
NGC2808,13.22
NGC6362,13.46
NGC6715,13.50
NGC6171,13.80
NGC6717,14.39
NGC6934,14.65
NGC6584,14.69
NGC5272,15.28
NGC5904,15.30
NGC7089,15.46
NGC6205,15.56
NGC6535,15.86
NGC288,16.10
NGC5986,16.47
NGC3201,16.76
NGC6681,17.28
NGC5286,17.63
Ruprecht106,18.00
NGC6139,18.33
NGC6093,18.38
NGC6656,18.92
NGC1904,18.96
NGC6218,19.16
NGC6254,19.47
NGC6541,19.74
NGC5897,21.28
NGC4833,21.38
NGC6752,21.39
NGC6144,21.53
NGC6101,22.00
NGC5024,23.62
NGC5053,24.35
NGC2298,24.55
NGC6121,25.94
NGC6809,26.63
NGC6397,26.67
NGC6779,27.40
NGC6341,27.72
NGC4590,28.83
NGC5466,29.92
NGC7078,31.69
NGC7099,34.02
