#NGC,Name,Age,Mass
104,47Tuc,11.75,6.412680814
288,XXXX,11.5,5.219922219
362,XXXX,10.75,6.333781771
1261,XXXX,10.75,6.069390558
1851,XXXX,11,6.64120997
2808,XXXX,11,6.701580135
3201,XXXX,11.5,5.516076711
4147,XXXX,12.25,5.700878439
4590,M68,12,5.530261558
4833,XXXX,12.5,5.706866034
5024,M53,12.25,6.153945212
5053,XXXX,12.25,5.030972972
5272,M3,11.75,6.158079288
5286,XXXX,12.5,6.276133734
5466,XXXX,12.5,5.147072484
5904,M5,11.5,5.994683115
5927,XXXX,10.75,5.538313242
5986,XXXX,12.25,5.786785202
6101,XXXX,12.25,5.258870014
6121,M4,11.5,5.472866659
6144,XXXX,12.75,4.53131842
6171,M107,12,5.104544693
6205,M13,12,5.992285787
6218,M12,13,5.371772213
6254,M10,11.75,5.485441611
6304,XXXX,11.25,5.346400789
6341,M92,12.75,6.155925263
6352,XXXX,10.75,4.913107628
6362,XXXX,12.5,5.03412569
6366,XXXX,11,4.747310133
6397,XXXX,13,5.954228125
6496,XXXX,10.75,5.13457021
6535,XXXX,12.75,4.484580289
6541,XXXX,12.5,5.719269254
6584,XXXX,11.75,5.696379924
6624,XXXX,11.25,4.981671806
6637,M69,11,5.181296436
6652,XXXX,11.25,5.254047543
6656,M22,12.5,5.816483453
6681,M70,12.75,5.342045899
6715,M54,11.75,6.894298443
6717,XXXX,12.5,4.870474427
6723,XXXX,12.5,5.161749555
6752,XXXX,12.5,5.560223489
6779,M56,12.75,5.665802474
6809,M55,13,5.181854763
6838,M71,11,5.119849484
6934,XXXX,11.75,5.842005449
6981,M72,11.5,5.462507288
7078,M15,12.75,6.321107978
7089,M2,11.75,6.32527388
7099,M30,13,5.726813759
XXXX,Arp21,12,4.484437839
XXXX,Pal12,9,4.531481975
XXXX,Ter8,13,4.620626618
